TimeStamp,Attribute,Value
12/31/09 22:17,Iws,1.79
12/31/09 22:43,precipitation,0
12/31/09 23:19,Iws,4.92
12/31/09 23:22,HUMI,43
1/1/10 0:02,PRES,1019
1/1/10 0:26,cbwd,NW
1/1/10 0:27,cbwd,NW
1/1/10 1:01,TEMP,-14
1/1/10 1:04,TEMP,-12
1/1/10 1:10,DEWP,-21
1/1/10 1:11,TEMP,-11
1/1/10 1:17,DEWP,-21
1/1/10 1:22,Iprec,0
1/1/10 1:24,Iprec,0
1/1/10 1:25,Iws,9.84
1/1/10 1:27,DEWP,-21
1/1/10 1:36,HUMI,55
1/1/10 1:43,TEMP,-11
1/1/10 1:45,PRES,1020
1/1/10 1:52,PRES,1021
1/1/10 2:07,cbwd,NW
1/1/10 2:11,cbwd,NW
1/1/10 2:16,precipitation,0
1/1/10 2:20,HUMI,47
1/1/10 2:21,HUMI,51
1/1/10 2:28,PRES,1018
1/1/10 2:59,HUMI,43
1/1/10 3:12,Iprec,0
1/1/10 3:33,Iws,6.71
1/1/10 3:45,precipitation,0
1/1/10 3:53,precipitation,0
1/1/10 4:10,PRES,1019
1/1/10 4:14,TEMP,-12
1/1/10 4:49,Iws,12.97
1/1/10 4:49,DEWP,-21
1/1/10 4:52,DEWP,-19
1/1/10 5:22,TEMP,-9
1/1/10 5:38,Iprec,0
1/1/10 5:54,cbwd,NW
1/1/10 5:54,Iprec,0
1/1/10 6:03,Iws,24.15
1/1/10 6:07,HUMI,44
1/1/10 6:10,precipitation,0
1/1/10 6:11,precipitation,0
1/1/10 6:21,precipitation,0
1/1/10 6:34,cbwd,NW
1/1/10 6:40,PRES,1017
1/1/10 6:41,PRES,1017
1/1/10 6:42,Iws,19.23
1/1/10 7:05,TEMP,-9
1/1/10 7:16,HUMI,44
1/1/10 7:24,Iprec,0
1/1/10 7:28,DEWP,-19
1/1/10 7:43,TEMP,-9
1/1/10 8:09,cbwd,NW
1/1/10 8:24,Iws,21.02
1/1/10 9:25,PRES,1017
1/1/10 9:35,HUMI,44
1/1/10 10:00,cbwd,NW
1/1/10 10:24,HUMI,37
1/1/10 10:26,cbwd,NW
1/1/10 10:26,DEWP,-19
1/1/10 10:30,DEWP,-18
1/1/10 10:56,TEMP,-7
1/1/10 11:06,PRES,1017
1/1/10 11:30,Iprec,0
1/1/10 11:41,Iws,34.43
1/1/10 11:55,PRES,1017
1/1/10 12:00,TEMP,-5
1/1/10 12:29,precipitation,0
1/1/10 12:49,Iprec,0
1/1/10 13:05,Iws,0.89
1/1/10 13:15,HUMI,26
1/1/10 13:17,Iprec,0
1/1/10 13:55,cbwd,cv
1/1/10 13:57,PRES,1014
1/1/10 15:05,Iprec,0
1/1/10 15:24,DEWP,-18
1/1/10 15:32,cbwd,NW
1/1/10 15:35,PRES,1015
1/1/10 15:54,cbwd,NW
1/1/10 16:00,PRES,1015
1/1/10 16:12,precipitation,0
